"Estacion","Fecha inicial","Fecha final","PLiquida"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-17","","0.29166667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-16","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-15","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-14","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-13","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-12","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-11","","0.08333333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-10","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-09","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-08","","0.0"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-07","","0.01666667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-06","","0.06666667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-05","","0.03333333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-04","","0.00833333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-03","","0.00833333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-02","","0.125"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-07-01","","0.275"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2022-06-30","","0.15652174"
