"Estacion","Fecha inicial","Fecha final","VViento"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-30","","2.01070833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-29","","1.94"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-28","","1.82395833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-27","","2.05570833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-26","","1.81583333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-25","","1.6835"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-24","","1.632875"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-23","","1.57545833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-22","","1.67045833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-21","","1.63325"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-20","","1.85633333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-19","","1.7535"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-18","","1.83275"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-01-17","","1.91458333"
