Estacion,Fecha inicial,Año,Mes,Día,NO,VViento,O3,DViento,PLiquida,HAire10,CO,NO2,P,PM2.5,SO2,PM10,TAire10,RGlobal
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-29,2022,10,29,21.08691667,1.59166667,23.83333333,191.075,0.00833333,77.2625,995.7685417,25.58691667,678.425,6.17916667,,17.62916667,22.1,146.2375
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-28,2022,10,28,18.06004762,1.8375,19.28095238,196.65,0.41666667,86.05,780.8118261,24.18,678.0916667,4.43333333,,12.28333333,21.9625,93.92916667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-27,2022,10,27,21.78945833,1.575,15.04583333,191.7625,0.24166667,86.82916667,400.572375,23.16175,677.2458333,5.22083333,,14.68333333,22.15833333,93.80416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-26,2022,10,26,23.9769,1.28333333,13.91304348,207.1,0.11666667,87.62083333,1491.166591,30.0202,677.2333333,6.30416667,1.25384615,16.08333333,21.76666667,64.72083333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-25,2022,10,25,14.37995833,1.95833333,23.80416667,164.3208333,1.55,82.7,1562.529375,28.34204167,677.9041667,5.59166667,1.12083333,15.27083333,22.33333333,120.7958333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-24,2022,10,24,11.47991667,1.97083333,21.88333333,222.1083333,0.2125,83.95,1449.399208,23.90995833,677.7958333,4.38333333,0.84166667,12.26666667,22.7625,124.5916667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-23,2022,10,23,11.94525,1.68333333,21.95416667,168.1541667,0.36666667,85.10833333,1369.3,20.78266667,677.4625,6.04583333,0.71666667,13.38333333,22.56666667,125.2125
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-22,2022,10,22,12.294875,1.8125,23.04166667,218.3541667,0.6,84.225,1441.549958,25.35504167,677.2625,4.67083333,0.87083333,11.6625,22.1375,102.725
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-21,2022,10,21,25.84066667,1.87083333,25.75,214.2375,0.03333333,76.59583333,1548.963333,27.68391667,677.45,5.37916667,1.375,16.80416667,23.15416667,158.2083333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-20,2022,10,20,24.33366667,1.36666667,14.89583333,200.4375,0.03333333,83.82916667,1774.412458,28.82933333,678.025,6.67083333,1.30416667,19.12916667,22.14166667,78.94583333
