Station,Date,Year,Month,Day,NO,VWind,O3,DWind,PLiquid,HAir10,CO,NO2,P,PM2.5,SO2,RGlobal,TAir10,PM10
CLUB UNIÓN,2022-05-29,2022,5,29,,1.23333333,1.57083333,219.6166667,0.00833333,78.9,821.2166667,,679.2458333,7.2875,0.7,159.0708333,23.45416667,12.64583333
CLUB UNIÓN,2022-05-28,2022,5,28,,1.17916667,1.71666667,203.2416667,0,78.25416667,1077.795833,,679.5708333,10.40833333,0.7625,122.1291667,23.64583333,18
CLUB UNIÓN,2022-05-27,2022,5,27,,1.14166667,1.225,182.675,0.01666667,80.80833333,1007.45,,680.3958333,9.47083333,0.52307692,145.7583333,23.39166667,17.5625
CLUB UNIÓN,2022-05-26,2022,5,26,,1.31666667,1.19565217,190.0541667,0.04166667,77.98333333,1079.345833,,680.8916667,9.32083333,0.46,137.625,23.3125,18.57083333
CLUB UNIÓN,2022-05-25,2022,5,25,,1.47083333,1.125,195.5333333,0.7625,83.1125,925.9333333,,680.1875,11.02916667,0.69545455,137.9375,22.6125,21.65
CLUB UNIÓN,2022-05-24,2022,5,24,,1.62916667,3.29166667,209.1875,0,76.62083333,645.2041667,,679.8,11.98333333,0.425,138.9166667,23.72083333,24.55416667
CLUB UNIÓN,2022-05-23,2022,5,23,,1.42083333,6.44583333,225.55,0,73.05,713.3833333,,680.175,13.79583333,1.07083333,218.3625,25.15833333,29.59583333
CLUB UNIÓN,2022-05-22,2022,5,22,,1.3125,6.325,204.3791667,0,74.68333333,718.0875,,681.4625,13.62083333,0.2375,232.9791667,24.85833333,25.49583333
CLUB UNIÓN,2022-05-21,2022,5,21,,1.41666667,2.63333333,231.7541667,1.32916667,81.38333333,703.1166667,,682.2375,11.27083333,0.3,217.0583333,23.7125,19.8125
CLUB UNIÓN,2022-05-20,2022,5,20,,1.44166667,3.65833333,221.6041667,0,77.525,699.6291667,,681.65,6.6375,0.56666667,202.1,23.54166667,13.6375
CLUB UNIÓN,2022-05-19,2022,5,19,,1.05833333,2.75,228.9333333,0,80.075,857.5125,,681.225,5.49583333,0.86666667,135.4083333,23.075,12.46666667
CLUB UNIÓN,2022-05-18,2022,5,18,,1.47916667,6.66666667,207.8125,0.10833333,87.425,958.9173913,,682.0666667,5.05,1.96,68.35,22.20416667,10.30833333
CLUB UNIÓN,2022-05-17,2022,5,17,,1.59166667,8.41052632,222.1541667,0.03333333,84.4875,732.5791667,,681.4375,8.77083333,0.65416667,148.1833333,23.7,14.94166667
CLUB UNIÓN,2022-05-16,2022,5,16,,1.35416667,7.51666667,200.9625,0,80.25416667,745.425,,680.2166667,7.29166667,0.80416667,172.7375,24.62083333,14.3375
CLUB UNIÓN,2022-05-15,2022,5,15,,1.13333333,7.99166667,215.5458333,0.3875,83.06666667,817.5083333,,679.6833333,9.47083333,1.41666667,150.5708333,24.10416667,17.13333333
CLUB UNIÓN,2022-05-14,2022,5,14,,1.57916667,2.07142857,223.3291667,0,84.03333333,659.3083333,,679.6916667,8.39166667,1.32083333,125.3541667,23.69166667,14.04583333
CLUB UNIÓN,2022-05-13,2022,5,13,,1.3,8.55416667,241.6625,0.00833333,80.22083333,833.2458333,,679.1791667,11.18333333,0.7875,150.2125,24.25416667,19.07916667
CLUB UNIÓN,2022-05-12,2022,5,12,,1.32916667,7.875,210.8416667,0.03333333,81.84166667,751.7041667,,679.3791667,8.23333333,1.39583333,199.0291667,23.42916667,14.975
CLUB UNIÓN,2022-05-11,2022,5,11,,1.64166667,9.40555556,220.0291667,0.38333333,84.36666667,679.6083333,,679.9375,4.57083333,0.71428571,201.4166667,22.625,10.05833333
CLUB UNIÓN,2022-05-10,2022,5,10,,1.49583333,,232.3166667,0.025,81.23333333,687.0083333,,679.9208333,6.80416667,1.6,153.4916667,23.50416667,14.23333333
CLUB UNIÓN,2022-05-09,2022,5,9,,1.29583333,16.61818182,209.1583333,0,77.46666667,905.5875,,679.5916667,6.47916667,1.85833333,204.2166667,24.35,14.17083333
CLUB UNIÓN,2022-05-08,2022,5,8,,1.19166667,,197.4958333,0,79.54583333,732.9541667,,680.2375,6.60833333,0.65294118,163.25,23.57083333,13.05416667
CLUB UNIÓN,2022-05-07,2022,5,7,,0.8375,2.2047619,193.125,0.175,88.40833333,1458.1625,,681.4916667,9.5625,0.69166667,87.825,21.64166667,17.39583333
CLUB UNIÓN,2022-05-06,2022,5,6,,1.32916667,3.5625,168.4166667,0.72083333,88.92916667,876.9333333,,681.8458333,9.4,1.45416667,91.9875,21.48333333,15.6125
CLUB UNIÓN,2022-05-05,2022,5,5,,1.25,6.42916667,170.5791667,0.11666667,81.07083333,1456.755556,,680.7458333,10.75714286,2.93888889,80.1625,23.1375,18.12142857
CLUB UNIÓN,2022-05-04,2022,5,4,,1.36666667,11.55217391,207.6375,0,72.15416667,,,679.3,,1.97083333,225.9291667,25.8,
CLUB UNIÓN,2022-05-03,2022,5,3,,1.33333333,10.27916667,218.775,0,70.39583333,,,679.6625,,1.04166667,257.175,25.29166667,
CLUB UNIÓN,2022-05-02,2022,5,2,,1.3,7.3,237.2833333,0,76.8,,,680.1291667,,0.90416667,186.2708333,24.12916667,
CLUB UNIÓN,2022-05-01,2022,5,1,,1.16666667,8.03333333,213.6833333,0.00833333,76.8,,,679.5041667,,0.13333333,209.8708333,24.17916667,
CLUB UNIÓN,2022-04-30,2022,4,30,,1.51304348,5.93043478,174.8956522,0.26956522,84.6,,,679.0869565,16.9,1.20434783,160.7956522,23.46956522,24.09130435
CLUB UNIÓN,2022-04-29,2022,4,29,,1.325,8.39583333,162.5666667,0.04166667,81.98333333,,,679.3666667,10.60416667,0.7375,194.6458333,23.39166667,18.525
CLUB UNIÓN,2022-04-28,2022,4,28,,1.40416667,5.69166667,227.675,0.81666667,89.0125,,,679.5458333,13.825,1.125,87.54583333,22.07083333,20.55416667
CLUB UNIÓN,2022-04-27,2022,4,27,,1.52916667,10.4375,237.2583333,0,75.72083333,,,679.2666667,10.39583333,1.62916667,184.9375,24.18333333,18.0125
CLUB UNIÓN,2022-04-26,2022,4,26,,1.55416667,9.1,178.7833333,0,76.12083333,,,680.0041667,8.59166667,0.76666667,206.4875,23.125,15.9125
CLUB UNIÓN,2022-04-25,2022,4,25,,1.325,4.51666667,229.5208333,0.00833333,86.60833333,,,680.2208333,10.5875,0.60909091,80.70416667,21.525,20.85416667
CLUB UNIÓN,2022-04-24,2022,4,24,,1.48333333,7.35,208.1583333,0,78.30833333,,,679.1125,10.3375,0.51428571,188.6708333,23.82916667,16.94166667
CLUB UNIÓN,2022-04-23,2022,4,23,,1.41666667,7.92083333,205.6041667,0,77.60833333,,,680.1416667,7.09583333,0.82083333,253.9708333,23.07083333,14.575
CLUB UNIÓN,2022-04-22,2022,4,22,,1.40833333,7.60833333,229.9416667,1.05833333,84.2625,,,681.1666667,5.17916667,1.24166667,193.9375,21.65416667,9.25
CLUB UNIÓN,2022-04-21,2022,4,21,,1.28333333,3.49545455,208.6,0.55,85.60833333,,,681.3541667,6.84166667,0.53,138.5291667,21.94583333,12.28333333
CLUB UNIÓN,2022-04-20,2022,4,20,,1.22916667,0,191.25,0.00833333,82.88333333,,,681.4458333,8.175,0.56,123.8833333,22.2125,16.43333333
CLUB UNIÓN,2022-04-19,2022,4,19,,1.24166667,0.71904762,180.1333333,1.125,89.925,,,681.0875,9.80416667,0.63529412,77.43333333,21.19583333,15.6125
CLUB UNIÓN,2022-04-18,2022,4,18,,1.4125,2.51818182,227.3,0.00833333,82.62916667,,,680.0333333,10.04583333,0.92,139.4541667,23.0875,18.92916667
CLUB UNIÓN,2022-04-17,2022,4,17,,1.09583333,2.22916667,219.0958333,0.19166667,84.0875,,,679.6125,10.1125,0.15714286,108.2208333,22.325,15.65833333
CLUB UNIÓN,2022-04-16,2022,4,16,,1.4125,2.92083333,195.4083333,0,78.8875,,,678.9458333,19.55,0.8375,115.025,23.975,30.80416667
CLUB UNIÓN,2022-04-15,2022,4,15,,1.35833333,4.4375,216.3958333,0,73.76666667,,,678.9,20.00833333,0.38421053,192.5375,25.05833333,28.88333333
CLUB UNIÓN,2022-04-14,2022,4,14,,1.2875,5.2625,212.0208333,0,73.425,,,678.7166667,22.7125,0.66521739,214.9583333,25.19583333,33.35
CLUB UNIÓN,2022-04-13,2022,4,13,,1.41666667,4.53333333,224.0125,0,73.09583333,,,678.55,16.86666667,0.44285714,179.1333333,25.17083333,27.4875
CLUB UNIÓN,2022-04-12,2022,4,12,,1.30416667,4.1625,203.3333333,0,75.35416667,,,678.5125,17.60416667,0.6625,211.7,24.97916667,28.24166667
CLUB UNIÓN,2022-04-11,2022,4,11,,1.42083333,5.1625,193.775,0,76.38333333,,,679.1083333,14.15833333,0.4625,207.675,24.82916667,23.34166667
CLUB UNIÓN,2022-04-10,2022,4,10,,1.37916667,3.3,230.7541667,0,77.875,,,679.25,9.4,0.64347826,193.825,24.35833333,15.35
CLUB UNIÓN,2022-04-09,2022,4,9,,1.35416667,3.01666667,228.6666667,0.04166667,80.425,,,679.6583333,12.1875,0.94615385,239.0375,24.24583333,21.5375
CLUB UNIÓN,2022-04-08,2022,4,8,,1.15833333,1.32916667,213.6666667,0.06666667,84.8875,,,679.875,12.62916667,0.8,128.4666667,23.075,23.1625
CLUB UNIÓN,2022-04-07,2022,4,7,18.1,1.1625,3.06666667,206.8125,0.85,88.0375,,21.16428571,679.675,9.84166667,0.98947368,76.82083333,22.18333333,16.96666667
CLUB UNIÓN,2022-04-06,2022,4,6,23.175,1.34583333,10.07083333,220.3416667,0,78.07916667,,18.36666667,678.8875,14.85833333,0.60833333,184.25,24.54583333,24.02083333
CLUB UNIÓN,2022-04-05,2022,4,5,18.07916667,1.62916667,10.275,217.025,0.00833333,80.0625,,15.90833333,679.4958333,11.375,1.24166667,210.7208333,23.85416667,19.15833333
CLUB UNIÓN,2022-04-04,2022,4,4,13.17083333,1.5875,12.5625,189.7875,0.73333333,82.05416667,,15.3375,679.5375,6.9,0.07272727,200.6875,22.975,11.8375
CLUB UNIÓN,2022-04-03,2022,4,3,18.39583333,1.4875,11.78333333,199.325,0.11666667,77.125,,14.29166667,679.1666667,13.14583333,0.9875,217.7583333,24.25416667,20.35416667
CLUB UNIÓN,2022-04-02,2022,4,2,21.5375,1.4625,9.7875,220.4333333,0,80.77083333,,16.31666667,679.9875,15.99583333,1.37083333,171.0125,24.42916667,25.24166667
CLUB UNIÓN,2022-04-01,2022,4,1,13.3625,1.6875,7.34782609,255.9041667,1.30833333,83.80416667,,14.4125,679.9625,10.36666667,0.9047619,214.3375,23.35833333,15.68333333
CLUB UNIÓN,2022-03-31,2022,3,31,19.3173913,1.46521739,11.56956522,206.7478261,0,77.15217391,,17.12608696,678.8608696,10.35217391,1.16086957,189.0695652,24.1173913,19.52608696
CLUB UNIÓN,2022-03-30,2022,3,30,19.05,1.475,10.33333333,201.075,0.00833333,79.45416667,,16.875,679.4625,8.85,1.12916667,213.3666667,23.38333333,16.12916667
CLUB UNIÓN,2022-03-29,2022,3,29,22.2375,1.48333333,10.2625,257.6,0.00833333,80.4875,,17.17083333,679.9375,12.8,1.45833333,205.0541667,24.05833333,19.88333333
CLUB UNIÓN,2022-03-28,2022,3,28,32.15833333,1.28333333,8.23333333,205.4333333,0,80.4,,19.23333333,680.1083333,13.49166667,1.02083333,139.3416667,23.60416667,21.24166667
CLUB UNIÓN,2022-03-27,2022,3,27,19.80416667,1.4,9.48333333,160.85,0,81.63333333,,14.94583333,679.7208333,17.74583333,0.325,98.1375,23.28333333,24.30833333
CLUB UNIÓN,2022-03-26,2022,3,26,15.975,1.5375,12.37083333,175.1166667,0.075,83.69583333,,17.17083333,679.2,20.5,0.50833333,162.6541667,23.07083333,27.34166667
CLUB UNIÓN,2022-03-25,2022,3,25,12.47916667,1.70833333,14.78333333,236.3125,0.04166667,76.5,,18.77916667,679.1083333,22.4375,2.72916667,220.8083333,24.60416667,30.425
CLUB UNIÓN,2022-03-24,2022,3,24,20.91578947,1.28636364,9.70952381,205.0636364,0.57727273,81.18181818,,18.34736842,678.8636364,19.03888889,0.87,176.7409091,24.16818182,25.88235294
CLUB UNIÓN,2022-03-23,2022,3,23,23.6375,1.50416667,15.81666667,190.4416667,0,72.39583333,,19.89166667,678.9541667,25.20833333,1.67083333,284.4041667,25.3625,36.76666667
CLUB UNIÓN,2022-03-22,2022,3,22,23.90833333,1.4625,9.69583333,221.8583333,0,78.55,,18.56666667,678.7458333,23.39166667,0.9625,223.2041667,24.775,32.01666667
CLUB UNIÓN,2022-03-21,2022,3,21,16.98333333,1.32083333,11.75,223.2375,0.05,79.94583333,,14.22083333,678.9,22.06666667,1.56666667,199.625,23.89583333,29.1
CLUB UNIÓN,2022-03-20,2022,3,20,20.27916667,1.25833333,11.72083333,209.4875,0.075,80.60416667,,16.26666667,679.5375,30.41666667,1.14166667,193.7375,24.04583333,38.49166667
CLUB UNIÓN,2022-03-19,2022,3,19,26.09166667,1.45416667,13.72083333,262.6083333,0,75.95833333,,19.29583333,679.4458333,29.41666667,0.89583333,246.6166667,24.85,40.98333333
CLUB UNIÓN,2022-03-18,2022,3,18,26.97916667,1.31666667,10.03333333,209.6875,0,77.7125,,22.825,679.6708333,29.6,0.89583333,176.275,24.07083333,40.65833333
CLUB UNIÓN,2022-03-17,2022,3,17,20.97083333,1.42916667,12.40833333,212.0291667,0.025,81.875,,20.19166667,679.8958333,21.75416667,0.2625,152.3291667,23.4,29.79583333
CLUB UNIÓN,2022-03-16,2022,3,16,22.89166667,1.52083333,11.00833333,203.5666667,0.08333333,79.17083333,,18.5875,679.8875,14.60416667,1.7125,220.7916667,23.875,22.90416667
CLUB UNIÓN,2022-03-15,2022,3,15,29.92916667,1.39166667,7.33333333,170.7625,0.00833333,79.03333333,,17.40833333,680.1875,7.1625,1.27916667,218.8541667,22.97083333,13.79583333
CLUB UNIÓN,2022-03-14,2022,3,14,25.47083333,1.3875,8.18333333,227.8541667,0.2125,82.3875,,20,680.3375,11.625,0.55,133.3666667,22.70416667,19.52083333
CLUB UNIÓN,2022-03-13,2022,3,13,15.375,1.45,11.85416667,201.7583333,0,77.60833333,,13.65416667,681.075,11.7875,1.28333333,180.1125,23.01666667,17.70416667
CLUB UNIÓN,2022-03-12,2022,3,12,33.96666667,1.3,12.325,205.925,0.09166667,78.80833333,,20.1125,680.225,20.53333333,1.0625,176.6083333,23.58333333,30.78333333
CLUB UNIÓN,2022-03-11,2022,3,11,25.04166667,1.42916667,,224.8208333,0,73.92916667,,20.05416667,680.425,19.5875,1.8375,260.6041667,24.04166667,29.13333333
CLUB UNIÓN,2022-03-10,2022,3,10,33.96363636,1.43333333,,219.3708333,0,78.79583333,,20.91363636,680.4583333,18.6625,2.57142857,145.2916667,23.00416667,30.37916667
CLUB UNIÓN,2022-03-09,2022,3,9,22.73333333,1.3625,12.065,210.9916667,0,74.85416667,,18.4125,679.7166667,12.93333333,1.1125,255.6583333,23.69583333,21.74583333
CLUB UNIÓN,2022-03-08,2022,3,8,22.675,1.325,9.65,248.5291667,0,77.65833333,,17.0875,679.65,9.85,0.6625,239.3291667,23.5125,18.85833333
CLUB UNIÓN,2022-03-07,2022,3,7,21.54583333,1.20416667,7.97083333,218.1583333,0.13333333,84.58333333,,15.63333333,680.0791667,6.05416667,1.07916667,138.5625,22.27916667,12.6625
CLUB UNIÓN,2022-03-06,2022,3,6,20.3625,1.3,8.98333333,225.5958333,0.48333333,83.33333333,,13.91666667,680.1958333,7.67083333,0.8,118.35,22.24166667,12.69166667
CLUB UNIÓN,2022-03-05,2022,3,5,30.10833333,1.52916667,8.76666667,224.4166667,0,80.77083333,,16.025,680,10.16666667,1.36666667,188.225,23.28333333,18.07083333
CLUB UNIÓN,2022-03-04,2022,3,4,37.66666667,1.35833333,6.13333333,211.7,0,82.46666667,,18.38333333,680.225,11.09583333,1.53333333,126.2458333,22.8125,21.70833333
CLUB UNIÓN,2022-03-03,2022,3,3,23.5125,1.46666667,6.67083333,200.4458333,0,83.27916667,,15.86666667,680.175,8.49166667,0.87083333,137.1458333,22.96666667,15.85416667
CLUB UNIÓN,2022-03-02,2022,3,2,23.9,1.525,8.2875,205.4166667,0.09166667,86.51666667,,15.76666667,680.225,7.375,0.7,101.0375,22.44166667,13.30833333
CLUB UNIÓN,2022-03-01,2022,3,1,25.1125,1.50833333,9.80833333,210.8541667,0,80.15833333,,17,679.8833333,9.4875,0.19166667,231.9583333,23.64166667,17.20833333
CLUB UNIÓN,2022-02-28,2022,2,28,24.14782609,1.46521739,,201.2086957,0.36956522,88.77391304,,17.4173913,680.373913,9.10869565,0.5952381,110.6130435,21.48695652,14.20434783
CLUB UNIÓN,2022-02-27,2022,2,27,21.59166667,1.09166667,,173.1708333,0.64166667,89.175,,17.15,680.3916667,20.51666667,0.85,74.76666667,21.75416667,26.90416667
CLUB UNIÓN,2022-02-26,2022,2,26,20.125,1.60416667,,221.05,0,71.47083333,,18.95416667,680.4916667,23.875,1.89166667,227.2333333,24.65,37.3125
CLUB UNIÓN,2022-02-25,2022,2,25,24.15,1.35833333,,236.7541667,0,71.35833333,,18.90833333,679.9833333,26.66666667,1.6125,256.275,24.9625,42.54583333
CLUB UNIÓN,2022-02-24,2022,2,24,13.55833333,1.37916667,,200.4208333,0,69.375,,18.62083333,679.6791667,26.33333333,1.1,235.825,24.875,38.3125
CLUB UNIÓN,2022-02-23,2022,2,23,15.175,1.31666667,,194.2875,0,71.5625,,18.53333333,679.8791667,22.02916667,1.2375,221.25,24.49583333,33.075
CLUB UNIÓN,2022-02-22,2022,2,22,20.62083333,1.40416667,,202.9083333,0,70.6,,19.725,679.9875,18.06666667,1.22916667,270.6083333,24.02083333,30.52083333
CLUB UNIÓN,2022-02-21,2022,2,21,18.175,1.3,,197.6375,0,73.40833333,,17.2375,680.05,13.8625,0.89545455,263.6208333,23.9,23.94166667
CLUB UNIÓN,2022-02-20,2022,2,20,20.925,1.50416667,,175.9875,0,80.06666667,,13.22083333,680.1333333,13.8375,1.15416667,237.3791667,23.13333333,22.86666667
CLUB UNIÓN,2022-02-19,2022,2,19,14.68333333,1.4625,,224.3875,0.37083333,81.74583333,,16.55,679.875,16.5875,0.91666667,227.2208333,22.8625,27.00833333
CLUB UNIÓN,2022-02-18,2022,2,18,21.475,1.48333333,,257.8125,0.075,76.2,,18.25833333,679.4458333,24.6875,1.05217391,249.3541667,24.5375,39.975
CLUB UNIÓN,2022-02-17,2022,2,17,17.9,1.26666667,,258.025,0,76.17083333,,19.04583333,679.8,22.22083333,1.97083333,255.575,24.96666667,34.6875
CLUB UNIÓN,2022-02-16,2022,2,16,17.3125,1.40833333,,229.0541667,0,74.15,,17.72916667,680.0708333,16.725,1.85,264.7583333,24.675,28.79166667
CLUB UNIÓN,2022-02-15,2022,2,15,13.87083333,1.625,,218.2875,0.00833333,79.53333333,,18.17916667,680.15,15.04583333,2.81304348,202.475,23.53333333,23.34583333
