Station,Date,Year,Month,Day,P,VWind,O3,DWind,PLiquid,PM2.5,PM10,RGlobal,SO2 TR,HAir10,TAir10
HOSPITAL DEL NORTE,2022-06-23,2022,6,23,693.7541667,2.32916667,,225.525,0.13333333,7.27083333,15.6375,215.7083333,0.825,80.00833333,24.36666667
HOSPITAL DEL NORTE,2022-06-22,2022,6,22,694.275,2.29583333,,210.15,0,6.38333333,14.47916667,237.675,1.175,77.48333333,24.375
HOSPITAL DEL NORTE,2022-06-21,2022,6,21,695.45,1.64166667,,190.4208333,0.03333333,8.02083333,20.83333333,170.3541667,1.7375,84.85833333,23.02083333
HOSPITAL DEL NORTE,2022-06-20,2022,6,20,696.0833333,1.425,,172.725,0.325,4.85416667,13.55416667,129.8708333,0.90833333,85.05833333,22.50416667
HOSPITAL DEL NORTE,2022-06-19,2022,6,19,696.0541667,1.39583333,,208.1958333,0.05,5.7375,13.4125,104.6541667,1.26666667,87.0125,22.15
HOSPITAL DEL NORTE,2022-06-18,2022,6,18,695.225,1.78333333,,218.2791667,0.01666667,9.61666667,21.05,140.5708333,1.1,86.04583333,22.98333333
HOSPITAL DEL NORTE,2022-06-17,2022,6,17,695.5041667,1.2125,,179.3958333,0.45,6.2125,15.64583333,72.57916667,1.6375,90.7375,22.3375
HOSPITAL DEL NORTE,2022-06-16,2022,6,16,695.4416667,1.85833333,,242.1291667,0.09166667,9.9875,20.48333333,190.0083333,0.8375,84.94583333,23.47916667
HOSPITAL DEL NORTE,2022-06-15,2022,6,15,695.3833333,1.22083333,,210.8,0.11666667,7.48333333,18.70416667,113.45,1.225,87.37916667,22.38333333
HOSPITAL DEL NORTE,2022-06-14,2022,6,14,695.3791667,1.6375,,215.9083333,0.08333333,5.50416667,14.23333333,141.1708333,1.55416667,86.64166667,22.45416667
HOSPITAL DEL NORTE,2022-06-13,2022,6,13,695.3458333,1.95,,243.8416667,1.15,6.725,16.33333333,158.2291667,0.925,86.61666667,23.075
HOSPITAL DEL NORTE,2022-06-12,2022,6,12,695.9375,1.69166667,,184.8125,0,5.575,11.82916667,132.1875,1.6,83.125,23.7
HOSPITAL DEL NORTE,2022-06-11,2022,6,11,694.9208333,2.04583333,,257.075,0,6.925,15.75833333,161.0916667,0.55,82.2,23.65416667
HOSPITAL DEL NORTE,2022-06-10,2022,6,10,694.7625,2.0625,,221.2916667,0,7.97916667,17.725,190.4791667,1.64444444,81.4625,23.55416667
HOSPITAL DEL NORTE,2022-06-09,2022,6,9,695.5416667,2.0375,,146.8125,0,5.51666667,13.77083333,156.8875,1.15833333,82.41666667,23.22083333
HOSPITAL DEL NORTE,2022-06-08,2022,6,8,695.6291667,2.22916667,,155.6791667,0,4.675,12.31666667,191.1416667,1.6,80.7625,23.1625
HOSPITAL DEL NORTE,2022-06-07,2022,6,7,695.5333333,2.57083333,,211.6916667,0.1,5.04166667,12.625,208.4916667,1.92916667,81.525,22.78333333
HOSPITAL DEL NORTE,2022-06-06,2022,6,6,695,1.8875,,202.3416667,0.03333333,5.66666667,15.54583333,194.6833333,1.30833333,80.05,23.7125
HOSPITAL DEL NORTE,2022-06-05,2022,6,5,695.3833333,1.25833333,,112.9166667,0.025,11.41666667,20.82916667,99.31666667,1.65833333,87.17916667,22.61666667
HOSPITAL DEL NORTE,2022-06-04,2022,6,4,695.7875,1.3375,,143.3916667,0.21666667,5.10833333,11.7125,101.8875,1.90416667,84.54583333,22.58333333
HOSPITAL DEL NORTE,2022-06-03,2022,6,3,696.2416667,1.33333333,,209.7041667,1.76666667,5.775,14.12916667,133.2416667,1.59583333,85.40416667,22.74583333
HOSPITAL DEL NORTE,2022-06-02,2022,6,2,695.4916667,2.70416667,,194.6,0.18333333,5.69583333,11.75,204.3,2.02916667,77.67083333,23.47083333
HOSPITAL DEL NORTE,2022-06-01,2022,6,1,694.4708333,2.1875,,233.1333333,0.01666667,7.90416667,16.21666667,244.7166667,0.89166667,74.95833333,24.77916667
