Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2022-06-20,2022,6,20,685.3875,1.08333333,17.2125,212.725,0.74166667,5.54583333,11.4875,122.325,2.30416667,87.00416667,22.025
COLEGIO GAITÁN,2022-06-19,2022,6,19,685.3416667,1.24166667,17.5375,210.975,0.05833333,3.36666667,7.62083333,106.2666667,2.41666667,88.3,21.3875
COLEGIO GAITÁN,2022-06-18,2022,6,18,684.5416667,1.34583333,18.60833333,227.3666667,0,11.0375,18.74583333,124.6375,2.33333333,88.64583333,22.25
COLEGIO GAITÁN,2022-06-17,2022,6,17,684.825,1.25416667,15.62083333,195.4375,0.425,6.62083333,15.6125,69.14583333,2.20416667,93.92083333,21.4375
COLEGIO GAITÁN,2022-06-16,2022,6,16,684.7916667,1.38333333,20.61666667,263.825,0.09166667,8.32916667,15.65,184.9541667,2.33333333,88.025,22.78333333
COLEGIO GAITÁN,2022-06-15,2022,6,15,684.725,1.12916667,13.79583333,236.3875,0.15,8.22083333,16.25833333,113.4208333,2.38333333,91.05416667,21.61666667
COLEGIO GAITÁN,2022-06-14,2022,6,14,684.7083333,1.30416667,10.52083333,214.6458333,0.08333333,6.0875,14.44583333,131.2041667,2.17391304,89.47083333,21.75
COLEGIO GAITÁN,2022-06-13,2022,6,13,684.8166667,1.38333333,11.1,147.55,4.66666667,5.25,11.68333333,0,,96.06666667,20.65
COLEGIO GAITÁN,2022-06-06,2022,6,6,684.62,1.61333333,22.08,211.6266667,0.01333333,3.87333333,10.77333333,275.1133333,1.95333333,80.28666667,22.78666667
COLEGIO GAITÁN,2022-06-05,2022,6,5,684.7125,1.21666667,19.1375,187.8958333,0,9.4375,15.10416667,116.5541667,2.36666667,87.25,22.30833333
COLEGIO GAITÁN,2022-06-04,2022,6,4,685.0875,1.30416667,22.25416667,131.4416667,0.175,6.24583333,13.49166667,107.0333333,2.2,86.76666667,21.99583333
COLEGIO GAITÁN,2022-06-03,2022,6,3,685.5291667,1.475,24.4375,176.5,0.48333333,6.34583333,15.19166667,136.3416667,2.39166667,85.44583333,22.29166667
COLEGIO GAITÁN,2022-06-02,2022,6,2,684.825,1.75416667,26.27083333,199.5958333,0.49166667,6.15,14.7875,195.3375,2.30416667,79.90416667,23.07083333
COLEGIO GAITÁN,2022-06-01,2022,6,1,683.8666667,1.6125,26.35416667,251.6708333,0,5.59166667,14.375,224.7625,2.25416667,78.69166667,23.95833333
COLEGIO GAITÁN,2022-05-31,2022,5,31,684.226087,1.5826087,18.43913043,239.026087,0,5.02608696,13.69565217,159.4478261,,84.45652174,23.42608696
COLEGIO GAITÁN,2022-05-30,2022,5,30,683.5708333,1.4375,25.39047619,213.625,0.00833333,6.74583333,13.20833333,164.95,,83.96666667,23.30416667
COLEGIO GAITÁN,2022-05-29,2022,5,29,683.475,1.41666667,21.35,242.6791667,0.00833333,6.46666667,12.63333333,188.5375,,82.0125,23.25416667
COLEGIO GAITÁN,2022-05-28,2022,5,28,683.8166667,1.16666667,24.37142857,202.9375,0,13.27916667,22.10833333,149.55,,84.45,22.06666667
COLEGIO GAITÁN,2022-05-27,2022,5,27,684.6625,1.275,16.55238095,277.7666667,0,10.20833333,20.69166667,155.4625,,87.9125,23.95833333
COLEGIO GAITÁN,2022-05-26,2022,5,26,685.1458333,1.32916667,12.76956522,259.8166667,0.025,8.8375,20.72916667,153.9666667,2.65,82.77083333,22.9625
COLEGIO GAITÁN,2022-05-25,2022,5,25,684.4166667,1.56666667,28.60416667,239.1208333,0.23333333,10.67916667,23.68333333,139.4333333,2.1125,86.8,21.025
COLEGIO GAITÁN,2022-05-24,2022,5,24,684.0666667,1.49583333,31.94583333,232.8041667,0.025,8.67083333,22.34166667,146.4458333,2.53333333,80.2,23.4875
COLEGIO GAITÁN,2022-05-23,2022,5,23,684.4083333,1.55416667,30.84166667,226.3708333,0,10.97083333,23.625,235.775,2.5625,77.02083333,22.7875
COLEGIO GAITÁN,2022-05-22,2022,5,22,685.6958333,1.46666667,34.07083333,225.6,0,10.61666667,21.41666667,263.4958333,2.54166667,78.4125,21.48333333
COLEGIO GAITÁN,2022-05-21,2022,5,21,686.4958333,1.45,26.74166667,261.8916667,0.275,6.8375,15.55416667,236.2916667,2.32083333,83.33333333,21.67083333
COLEGIO GAITÁN,2022-05-20,2022,5,20,685.9,1.55416667,27.65416667,237.9916667,0,5.34166667,12.91666667,254.9791667,2.37083333,80.49166667,21.87916667
COLEGIO GAITÁN,2022-05-19,2022,5,19,685.4833333,1.17083333,20.71904762,253.5708333,0.00833333,10.59166667,22.3375,145.1458333,2.5,85.55416667,20.92916667
COLEGIO GAITÁN,2022-05-18,2022,5,18,686.3125,1.39583333,14.35416667,114.8333333,0.14166667,7.0625,18.59166667,74.76666667,1.98333333,92.03333333,22.82083333
COLEGIO GAITÁN,2022-05-17,2022,5,17,685.6541667,1.38333333,24.57916667,238.2583333,0.05833333,9.2875,17.45416667,161.2375,2.3375,88.79583333,22
COLEGIO GAITÁN,2022-05-16,2022,5,16,684.4375,1.37083333,23.47916667,253.025,0,6.54583333,14.05416667,198.6541667,2.18823529,83.93333333,23.73333333
COLEGIO GAITÁN,2022-05-15,2022,5,15,683.8875,1.19166667,20.375,259.4125,0.05,6.8375,14.76666667,164.3041667,1.82916667,85.9375,24.8625
COLEGIO GAITÁN,2022-05-14,2022,5,14,683.9125,1.31666667,19.175,205.6708333,0,8.49166667,15.60416667,130.1958333,2.06666667,88.89166667,24.8625
COLEGIO GAITÁN,2022-05-13,2022,5,13,683.4,1.25,28.6875,270.5833333,0,10.025,19.04166667,163.275,2.5875,85.425,24.94583333
COLEGIO GAITÁN,2022-05-12,2022,5,12,683.6083333,1.47083333,20.27916667,237.8625,0.04166667,8.0375,14.94166667,195.075,2.51666667,87.2875,24.69166667
COLEGIO GAITÁN,2022-05-11,2022,5,11,684.1583333,1.90416667,24.3625,231.0333333,0.34166667,5.09583333,12.55833333,190.8916667,2.42083333,87.03333333,24.4875
COLEGIO GAITÁN,2022-05-10,2022,5,10,684.1833333,1.59583333,25.31818182,233.225,0.00833333,5.10416667,13.79583333,167.5333333,2.04444444,84.35416667,24.05833333
COLEGIO GAITÁN,2022-05-09,2022,5,9,683.8,1.5,24.95238095,245.2208333,0,6.40833333,15.12916667,247.4458333,2.43333333,79.7625,23.9875
COLEGIO GAITÁN,2022-05-08,2022,5,8,684.4541667,1.32083333,21.625,230.9,0,6.59583333,15.41666667,177.9125,2.54166667,82.02916667,23.13333333
COLEGIO GAITÁN,2022-05-07,2022,5,7,685.7208333,1.01666667,16.7,239.0125,0.01666667,11.575,19.39166667,106.5958333,2.55,91.64166667,22.17916667
COLEGIO GAITÁN,2022-05-06,2022,5,6,686.0916667,1.20833333,17.96363636,246.3125,0.5,11.25416667,22.58333333,112.4291667,2.34166667,91.975,24.29583333
COLEGIO GAITÁN,2022-05-05,2022,5,5,684.9708333,1.21666667,20.15833333,180.2583333,0.2,11.98333333,26.32916667,95.93333333,2.25833333,83.03333333,23.69583333
COLEGIO GAITÁN,2022-05-04,2022,5,4,683.5125,1.51666667,37.26818182,221.1583333,0,8.0625,20.66666667,241.6791667,3.04583333,76.15833333,22.82916667
COLEGIO GAITÁN,2022-05-03,2022,5,3,683.875,1.45833333,31.34782609,247.0333333,0,6.12083333,16.8375,269.1291667,2.225,76.11666667,24.00416667
COLEGIO GAITÁN,2022-05-02,2022,5,2,684.3136364,1.26818182,22.45,209.6727273,0,4.94166667,14.02916667,136.9954546,1.67826087,82.32727273,23.825
COLEGIO GAITÁN,2022-05-01,2022,5,1,683.7291667,1.45,31.44117647,223.8333333,0,7.9,14.8875,240.7,1.7125,82.46666667,24.02083333
COLEGIO GAITÁN,2022-04-30,2022,4,30,683.3086957,1.43913043,24.88095238,182.4217391,0.28695652,10.53043478,19.37826087,187.0565217,2.22173913,87.4826087,23.42608696
